Equipo,Nombre,IRJ General,Edad,Posicion
Asociación Deportiva Carmelita,Carlos Acosta Evans,31,36,Defensa
Municipal Liberia,Paulo Rodríguez Chaves,31,28,Volante
Club Sport Cartaginés,Adrián De Lemos Calderón,30,34,Portero
Municipal Pérez Zeledón,Elier Aponzá Ramírez,30,22,Delantero
Asociación Deportiva San Carlos,Jorge Ramírez Villalobos,30,27,Defensa
Limón Fútbol Club,Kareem Mc Lean Powell,30,33,Volante
Asociación Deportiva Carmelita,Ariel Soto González,30,24,Defensa
Club de Fútbol UCR,Le mark Hernández  Eubanks,30,28,Defensa
Club Sport Herediano,Randall Azofeifa Corrales,29,32,Volante
Club Sport Herediano,Leonardo González Arce,29,36,Defensa
Club Sport Cartaginés,Danny Fonseca Bravo,29,37,Volante
Asociación Deportiva San Carlos,Jonathan Zarate Rojas,29,25,Defensa
Asociación Deportiva San Carlos,Javier Loaiza Masis,29,32,Defensa
Club de Fútbol UCR,Bryan Vega Chávez,29,25,Delantero
Municipal Liberia,Cristian Reyes Alemán,29,21,Volante
Deportivo Saprissa,Marvin Angulo Borbón,28,30,Volante
Deportivo Saprissa,Jordan Smith Wint,28,25,Defensa
Liga Deportiva Alajuelense,Bryan Jiménez Álvarez,28,20,Delantero
Liga Deportiva Alajuelense,Luis Sequeira Guerrero,28,22,Volante
Club Sport Herediano,Elías Aguilar Vargas,28,25,Volante
Asociacion Deportiva Santos,Edder Munguío Villegas,28,31,Defensa
Belén Fútbol Club,Jason Prendas Cruz,28,27,Defensa
Liga Deportiva Alajuelense,Kenner Gutiérrez Cerdas,27,27,Defensa
Liga Deportiva Alajuelense,Jameson Scott Guevara,27,28,Defensa
Club Sport Herediano,José Cubero Loría,27,29,Volante
Belén Fútbol Club,Iván Ramírez Molina,27,22,Delantero
Municipal Liberia,Douglas Forvis Espinoza,27,24,Portero
Deportivo Saprissa,Julio Cascante Solórzano,26,23,Defensa
Asociacion Deportiva Santos,Rigoberto Jiménez Chavarría,26,27,Defensa
Belén Fútbol Club,Josué Rodríguez Ramírez,26,24,Defensa
Deportivo Saprissa,Ulises Segura Machado,25,23,Volante
Municipal Pérez Zeledón,Lucas Maximiliano Meza,25,24,Defensa
Asociación Deportiva San Carlos,Mark Blanco Pineda,25,28,Delantero
Belén Fútbol Club,Juan Vargas Campos,25,21,Defensa
Asociación Deportiva Carmelita,Guillermo Moreira Rodríguez,25,26,Portero
Municipal Liberia,Erick Sánchez Allen,25,28,Portero
Club Sport Herediano,José Mena Alfaro,24,28,Defensa
Asociacion Deportiva Santos,Jesús Camacho González,24,28,Volante
Asociación Deportiva Carmelita,Johnny Ruiz Castillo,24,35,Delantero
Club de Fútbol UCR,Víctor Chavarría Mora,24,26,Volante
Deportivo Saprissa,Dany Carvajal Rodríguez,23,28,Portero
Liga Deportiva Alajuelense,Patrick Pemberton Bernard,23,34,Portero
Club Sport Herediano,Esteban Ramírez Segnini,23,30,Volante
Club Sport Herediano,Keyner Brown Blackwood,23,25,Defensa
