Club,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,C1,C2,C3,C4
Deportivo Saprissa,60,95,108,62,87,77,85,68,63,107,88,35,101,53,63,103,40,91,83,67,68,80,,,100,76
Liga Deportiva Alajuelense,67,83,80,37,68,49,47,39,35,67,77,97,100,85,30,51,33,98,35,77,75,79,,,64,44
Club Sport Herediano,73,83,58,75,68,36,49,84,61,60,92,55,73,113,77,37,62,60,74,56,83,64,115,,62,62
Santos de Guápiles,67,53,63,71,77,35,37,44,84,82,95,38,59,29,55,107,73,37,43,77,98,79,37,,33,67
